0,1,2,3,4,5,6,7,8
Effect of cash flow hedges:,,,,,,,,
Foreign exchange contracts,,,,,,,,
Amount of gains losses reclassified from AOCI to,,,,,,,,
income,,1355.0,,0.0,,71.0,,0.0
Amount excluded from the assessment of,,,,,,,,
effectiveness amortized,,63.0,,0.0,,16.0,,0.0
Effect of fair value hedges:,,,,,,,,
Foreign exchange contracts,,,,,,,,
Hedged items,,0.0,,349.0,,0.0,,6.0
Derivatives designated as hedging instruments,,0.0,,350.0,,0.0,,6.0
Amount excluded from the assessment of,,,,,,,,
effectiveness,,0.0,,9.0,,0.0,,12.0
Effect of net investment hedges:,,,,,,,,
Foreign exchange contracts,,,,,,,,
Amount excluded from the assessment of,,,,,,,,
effectiveness,,0.0,,99.0,,0.0,,136.0
Effect of non designated hedges:,,,,,,,,
